top,movie,author
121,甜蜜蜜,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...
122,萤火之森,导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...
123,告白,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...
124,大鱼,导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...
125,借东西的小人阿莉埃蒂,导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...
126,阳光姐妹淘,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...
127,驯龙高手,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...
128,射雕英雄传之东成西就,导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...
129,幸福终点站,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...
130,爱在日落黄昏时,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
131,功夫,导演:周星驰StephenChow   主演:周星驰StephenChow/元秋QiuYuen/...
132,恐怖直播,导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...
133,完美的世界,导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...
134,人生果实,导演:伏原健之KenshiFushihara   主演:津端修一ShûichiTsubata/津...
135,神偷奶爸,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...
136,怪兽电力公司,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...
137,玩具总动员3,导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...
138,天书奇谭,导演:王树忱ShuchenWang/钱运达YundaQian   主演:丁建华JianhuaDin...
139,傲慢与偏见,导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...
140,血战钢锯岭,导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/...
141,哈利·波特与阿兹卡班的囚徒,导演:AlfonsoCuarón   主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...
142,教父3,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...
143,时空恋旅人,导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格里森DomhnallGl...
144,釜山行,导演:延尚昊Sang-hoYeon   主演:孔侑YooGong/郑有美Yu-miJung/马...
145,风之谷,导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...
146,哪吒闹海,导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖Zhenghui...
147,电锯惊魂,导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...
148,被解救的姜戈,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/...
149,上帝之城,导演:费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund  &nbsp...
150,喜宴,导演:李安AngLee   主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...
151,七武士,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...
152,英雄本色,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...
153,我是山姆,导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...
154,谍影重重3,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...
155,头号玩家,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:泰伊·谢里丹TyeSheri...
156,哈利·波特与密室,导演:ChrisColumbus   主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...
157,岁月神偷,导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...
158,一个叫欧维的男人决定去死,导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård...
159,纵横四海,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...
160,三块广告牌,导演:马丁·麦克唐纳MartinMcDonagh   主演:弗兰西斯·麦克多蒙德France...
161,疯狂原始人,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...
162,心迷宫,导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang...
163,达拉斯买家俱乐部,导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon...
164,记忆碎片,导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...
165,卢旺达饭店,导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...
166,花样年华,导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...
167,你的名字。,导演:新海诚MakotoShinkai   主演:神木隆之介RyûnosukeKamiki/上...
168,萤火虫之墓,导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子
169,荒蛮故事,导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...
170,未麻的部屋,导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu...
171,黑客帝国3：矩阵革命,导演:AndyWachowski/LarryWachowski   主演:基努·里维斯KeanuReeves...
172,贫民窟的百万富翁,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫...
173,爆裂鼓手,导演:达米恩·查泽雷DamienChazelle   主演:迈尔斯·特勒MilesTeller/...
174,东邪西毒,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/林青霞Brigitte...
175,真爱至上,导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...
176,模仿游戏,导演:莫滕·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC...
177,忠犬八公物语,导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa...
178,新世界,导演:朴勋政Hoon-jungPark   主演:李政宰Jung-JaeLee/崔岷植Min-sik...
179,黑天鹅,导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie...
180,头脑特工队,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb...
181,海街日记,导演:是枝裕和HirokazuKoreeda   主演:绫濑遥HarukaAyase/长泽雅美M...
182,你看起来好像很好吃,导演:藤森雅也MasayaFujimori   主演:山口胜平KappeiYamaguchi/爱河...
183,无敌破坏王,导演:瑞奇·莫尔RichMoore   主演:约翰·C·赖利JohnC.Reilly/萨拉...
184,雨人,导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...
185,冰川时代,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...
186,惊魂记,导演:阿尔弗雷德·希区柯克AlfredHitchcock   主演:安东尼·博金斯Antho...
187,恋恋笔记本,导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...
188,小偷家族,导演:是枝裕和HirokazuKoreeda   主演:中川雅也LilyFranky/安藤樱Sa...
189,二十二,导演:郭柯KeGuo   主演:
190,绿里奇迹,导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...
191,恐怖游轮,导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa...
192,海边的曼彻斯特,导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle...
193,奇迹男孩,导演:斯蒂芬·卓博斯基StephenChbosky   主演:雅各布·特伦布莱JacobTr...
194,房间,导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson...
195,疯狂的石头,导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin
196,魔女宅急便,导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re...
197,雨中曲,导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly   主演:吉恩·...
198,爱在午夜降临前,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
199,虎口脱险,导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...
200,人工智能,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley...
201,罗生门,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/京町子...
202,终结者2：审判日,导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz...
203,初恋这件小事,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...
204,2001太空漫游,导演:斯坦利·库布里克StanleyKubrick   主演:凯尔·杜拉KeirDullea/...
205,可可西里,导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...
206,城市之光,导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...
207,魂断蓝桥,导演:茂文·勒鲁瓦MervynLeRoy   主演:费雯·丽VivienLeigh/罗伯特·...
208,海洋,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...
209,牯岭街少年杀人事件,导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张...
